PLAZO,CAPITAL,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,mes,Estado,Estado_Estimado,Probabilidad
30.0,470000.0,28.0,1.0,5.0,0,0,0.4
30.0,230000.0,1.0,1.1102230246251565e-16,2.0,1,1,93.88
30.0,300000.0,5.0,1.0,1.0,0,0,41.13
30.0,200000.0,6.0,1.0,10.0,0,0,38.0
30.0,300000.0,10.0,1.0,11.0,0,0,20.93
30.0,250000.0,3.0,1.0,6.0,1,1,54.24
30.0,400000.0,2.000000000000001,1.0,4.0,1,1,61.69
30.0,390000.0,1.0,1.1102230246251565e-16,2.0,1,1,94.53
30.0,500000.0,13.0,1.0,10.0,0,0,13.01
30.0,200000.0,13.0,1.0,10.0,0,0,10.67
30.0,500000.0,7.0,1.0,10.0,0,0,37.8
30.0,250000.0,18.0,1.0,4.0,0,0,3.31
30.0,200000.0,2.000000000000001,1.0,7.0,1,1,59.53
30.0,200000.0,1.0,1.1102230246251565e-16,7.0,1,1,94.3
30.0,450000.0,9.0,1.0,2.0,0,0,23.85
30.0,450000.0,1.0,1.1102230246251565e-16,12.0,1,1,95.66
29.0,450000.0,2.000000000000001,1.0,9.0,1,1,66.09
30.0,250000.0,2.000000000000001,1.0,12.0,0,1,62.76
30.0,500000.0,9.0,1.0,2.0,0,0,24.54
30.0,500000.0,16.0,1.0,7.0,0,0,6.54
30.0,200000.0,1.0,1.1102230246251565e-16,4.0,1,1,93.97
30.0,500000.0,2.000000000000001,1.0,5.0,1,1,63.9
30.0,500000.0,13.0,1.0,2.0,0,0,11.33
30.0,400000.0,17.0,1.0,3.0,0,0,4.53
30.0,400000.0,6.0,1.0,12.0,0,0,42.55
30.0,500000.0,23.0,1.0,4.0,0,0,1.27
30.0,250000.0,3.0,1.0,2.0,1,1,52.27
30.0,500000.0,12.0,1.0,4.0,0,0,14.37
30.0,250000.0,2.000000000000001,1.0,3.0,1,1,58.52
30.0,300000.0,3.0,1.0,6.0,0,1,55.17
30.0,300000.0,1.0,1.1102230246251565e-16,4.0,1,1,94.38
30.0,400000.0,2.000000000000001,1.0,6.0,1,1,62.62
28.0,450000.0,2.000000000000001,1.0,9.0,1,1,67.31
21.0,350000.0,30.0,1.0,3.0,0,0,0.36
30.0,500000.0,31.0,1.0,6.0,0,0,0.21
30.0,100000.0,3.0,1.0,8.0,1,1,52.42
30.0,400000.0,3.0,1.0,11.0,0,1,59.41
30.0,500000.0,3.0,1.0,5.0,0,1,58.36
30.0,250000.0,1.0,1.1102230246251565e-16,7.0,1,1,94.5
30.0,500000.0,5.0,1.0,1.0,0,0,44.8
30.0,300000.0,12.0,1.0,11.0,1,0,14.23
30.0,500000.0,18.0,1.0,11.0,0,0,4.53
30.0,250000.0,13.0,1.0,4.0,0,0,9.93
30.0,500000.0,41.0,1.0,2.0,0,0,0.02
30.0,300000.0,1.0,1.1102230246251565e-16,5.0,0,1,94.49
30.0,250000.0,2.000000000000001,1.0,3.0,0,1,58.52
30.0,500000.0,13.0,1.0,11.0,0,0,13.24
30.0,300000.0,1.0,1.1102230246251565e-16,7.0,1,1,94.69
30.0,450000.0,8.0,1.0,5.0,0,0,29.57
30.0,310000.0,6.0,1.0,11.0,0,0,40.44
30.0,500000.0,9.0,1.0,3.0,0,0,24.91
30.0,300000.0,4.0,1.0,7.0,1,0,49.84
30.0,200000.0,12.0,1.0,8.0,0,0,12.67
30.0,400000.0,2.000000000000001,1.0,1.0,1,1,60.28
30.0,200000.0,1.0,1.1102230246251565e-16,1.0,1,1,93.63
30.0,300000.0,17.0,1.0,4.0,0,0,4.3
30.0,100000.0,1.0,1.1102230246251565e-16,2.0,1,1,93.29
30.0,250000.0,12.0,1.0,12.0,0,0,14.02
30.0,250000.0,4.0,1.0,12.0,0,1,51.37
30.0,350000.0,9.0,1.0,1.0,0,0,22.18
30.0,400000.0,13.0,1.0,7.0,0,0,11.57
30.0,500000.0,21.0,1.0,2.0,0,0,1.93
30.0,250000.0,17.0,1.0,10.0,0,0,4.65
30.0,350000.0,2.000000000000001,1.0,6.0,0,1,61.74
30.0,400000.0,1.0,1.1102230246251565e-16,11.0,1,1,95.41
30.0,350000.0,8.0,1.0,1.0,0,0,26.47
30.0,300000.0,1.0,1.1102230246251565e-16,10.0,1,1,94.98
29.0,300000.0,9.0,1.0,5.0,0,0,23.88
30.0,500000.0,6.0,1.0,4.0,0,0,40.54
30.0,480000.0,7.0,1.0,9.0,0,0,36.98
30.0,500000.0,4.0,1.0,2.0,1,1,51.12
30.0,150000.0,11.0,1.0,7.0,1,0,14.75
30.0,500000.0,11.0,1.0,9.0,0,0,18.96
30.0,120000.0,1.0,1.1102230246251565e-16,5.0,1,1,93.74
30.0,500000.0,10.0,1.0,4.0,0,0,21.13
30.0,250000.0,1.0,1.1102230246251565e-16,7.0,1,1,94.5
30.0,210000.0,1.0,1.1102230246251565e-16,9.0,1,1,94.55
30.0,300000.0,4.0,1.0,3.0,0,0,47.87
30.0,100000.0,6.0,1.0,7.0,0,0,34.9
30.0,250000.0,3.0,1.0,10.0,0,1,56.19
30.0,500000.0,11.0,1.0,3.0,0,0,17.21
30.0,500000.0,28.0,1.0,1.0,0,0,0.38
30.0,500000.0,21.0,1.0,4.0,0,0,2.01
30.0,500000.0,8.0,1.0,7.0,0,0,31.2
30.0,400000.0,7.0,1.0,9.0,0,0,35.6
30.0,350000.0,9.0,1.0,1.0,0,0,22.18
30.0,450000.0,1.0,1.1102230246251565e-16,12.0,1,1,95.66
24.0,300000.0,4.0,1.0,2.0,0,1,55.56
30.0,250000.0,3.0,1.0,2.0,0,1,52.27
30.0,200000.0,14.0,1.0,9.0,1,0,8.49
30.0,400000.0,8.0,1.0,6.0,0,0,29.2
30.0,500000.0,1.0,1.1102230246251565e-16,3.0,1,1,95.04
30.0,450000.0,18.0,1.0,6.0,0,0,3.98
30.0,100000.0,2.000000000000001,1.0,11.0,0,1,59.62
30.0,300000.0,1.0,1.1102230246251565e-16,8.0,1,1,94.79
30.0,250000.0,1.0,1.1102230246251565e-16,11.0,1,1,94.89
30.0,200000.0,7.0,1.0,11.0,0,0,33.11
30.0,300000.0,1.0,1.1102230246251565e-16,12.0,1,1,95.16
30.0,500000.0,1.0,1.1102230246251565e-16,9.0,1,1,95.57
30.0,300000.0,1.0,1.1102230246251565e-16,4.0,1,1,94.38
29.0,420000.0,6.0,1.0,9.0,0,0,42.81
30.0,500000.0,38.0,1.0,9.0,0,0,0.04
30.0,500000.0,6.0,1.0,5.0,0,0,41.02
30.0,350000.0,4.0,1.0,2.0,0,0,48.31
30.0,300000.0,2.000000000000001,1.0,3.0,0,1,59.43
30.0,500000.0,24.0,1.0,4.0,0,0,1.01
30.0,500000.0,7.0,1.0,6.0,1,0,35.96
30.0,400000.0,3.0,1.0,4.0,0,1,56.04
30.0,250000.0,36.99999999999999,1.0,6.0,0,0,0.04
30.0,500000.0,17.0,1.0,4.0,0,0,4.96
30.0,400000.0,4.0,1.0,3.0,1,0,49.74
29.0,150000.0,1.0,1.1102230246251565e-16,5.0,1,1,94.18
30.0,250000.0,6.0,1.0,5.0,0,0,36.57
30.0,500000.0,13.0,1.0,12.0,0,0,13.47
30.0,200000.0,5.0,1.0,8.0,0,0,42.67
30.0,500000.0,8.0,1.0,6.0,0,0,30.77
30.0,500000.0,10.0,1.0,2.0,0,0,20.48
30.0,500000.0,5.0,1.0,2.0,0,0,45.29
30.0,500000.0,11.0,1.0,1.0,1,0,16.66
30.0,500000.0,20.0,1.0,1.0,0,0,2.38
30.0,500000.0,18.0,1.0,12.0,0,0,4.62
30.0,350000.0,1.0,1.1102230246251565e-16,10.0,1,1,95.16
30.0,500000.0,13.0,1.0,6.0,0,0,12.15
30.0,350000.0,4.0,1.0,9.0,1,1,51.76
30.0,350000.0,11.0,1.0,9.0,0,0,17.3
30.0,300000.0,1.0,1.1102230246251565e-16,11.0,1,1,95.07
14.000000000000002,300000.0,2.000000000000001,1.0,2.0,1,1,77.52
30.0,350000.0,2.000000000000001,1.0,10.0,1,1,63.58
30.0,500000.0,13.0,1.0,4.0,0,0,11.73
30.0,400000.0,2.000000000000001,1.0,4.0,1,1,61.69
30.0,300000.0,3.0,1.0,3.0,0,1,53.7
30.0,280000.0,7.0,1.0,11.0,1,0,34.45
30.0,200000.0,6.0,1.0,6.0,0,0,36.16
25.0,350000.0,4.0,1.0,8.0,0,1,58.04
30.0,175000.0,1.0,1.1102230246251565e-16,5.0,1,1,93.98
30.0,250000.0,7.0,1.0,3.0,0,0,30.5
30.0,450000.0,25.0,1.0,11.0,0,0,0.88
30.0,500000.0,9.0,1.0,11.0,0,0,27.98
9.0,250000.0,4.0,1.0,12.0,0,1,76.93
30.0,300000.0,4.0,1.0,9.0,1,1,50.82
28.0,500000.0,6.0,1.0,11.0,1,0,46.62
30.0,350000.0,12.0,1.0,1.0,0,0,12.39
30.0,500000.0,13.0,1.0,3.0,0,0,11.53
30.0,200000.0,14.0,1.0,1.0,0,0,7.34
29.0,300000.0,1.0,1.1102230246251565e-16,11.0,1,1,95.32
30.0,450000.0,6.0,1.0,3.0,0,0,39.17
30.0,300000.0,4.0,1.0,12.0,1,1,52.3
30.0,500000.0,7.0,1.0,7.0,1,0,36.41
30.0,350000.0,2.000000000000001,1.0,10.0,1,1,63.58
30.0,400000.0,1.0,1.1102230246251565e-16,6.0,1,1,94.96
30.0,150000.0,2.000000000000001,1.0,11.0,1,1,60.52
30.0,300000.0,13.0,1.0,10.0,0,0,11.41
13.0,100000.0,3.0,1.0,12.0,0,1,75.15
30.0,250000.0,3.0,1.0,4.0,1,1,53.26
30.0,200000.0,2.000000000000001,1.0,4.0,0,1,58.09
30.0,350000.0,2.000000000000001,1.0,5.0,0,1,61.27
30.0,500000.0,3.0,1.0,2.0,0,1,56.91
30.0,500000.0,6.0,1.0,5.0,0,0,41.02
30.0,200000.0,2.000000000000001,1.0,3.0,1,1,57.61
30.0,250000.0,13.0,1.0,12.0,0,0,11.43
30.0,500000.0,2.000000000000001,1.0,2.0,1,1,62.53
30.0,300000.0,2.000000000000001,1.0,3.0,1,1,59.43
30.0,400000.0,3.0,1.0,12.0,0,1,59.88
30.0,500000.0,8.0,1.0,7.0,0,0,31.2
30.0,300000.0,5.0,1.0,4.0,1,0,42.57
30.0,320000.0,6.0,1.0,3.0,0,0,36.87
19.0,300000.0,5.0,1.0,2.0,0,1,56.55
30.0,320000.0,12.0,1.0,8.0,0,0,13.7
30.0,500000.0,20.0,1.0,9.0,0,0,2.78
30.0,500000.0,34.0,1.0,12.0,0,0,0.12
30.0,250000.0,17.0,1.0,9.0,0,0,4.56
30.0,380000.0,10.0,1.0,11.0,0,0,21.94
30.0,270000.0,24.0,1.0,1.0,0,0,0.8
30.0,200000.0,1.0,1.1102230246251565e-16,3.0,0,1,93.86
30.0,500000.0,20.0,1.0,10.0,0,0,2.83
30.0,370000.0,1.0,1.1102230246251565e-16,2.0,1,1,94.45
30.0,500000.0,15.0,1.0,3.0,0,0,7.55
30.0,200000.0,1.0,1.1102230246251565e-16,10.0,1,1,94.61
30.0,200000.0,2.000000000000001,1.0,8.0,0,1,60.0
30.0,400000.0,27.0,1.0,8.0,0,0,0.5
30.0,260000.0,16.0,1.0,12.0,0,0,6.06
30.0,250000.0,3.0,1.0,5.0,0,1,53.75
30.0,300000.0,1.0,1.1102230246251565e-16,11.0,1,1,95.07
30.0,300000.0,6.0,1.0,10.0,0,0,39.78
22.0,220000.0,1.0,1.1102230246251565e-16,11.0,1,1,96.57
30.0,310000.0,1.0,1.1102230246251565e-16,7.0,1,1,94.73
30.0,300000.0,7.0,1.0,1.0,0,0,30.46
30.0,100000.0,1.0,1.1102230246251565e-16,4.0,1,1,93.54
30.0,350000.0,1.0,1.1102230246251565e-16,1.0,1,1,94.27
30.0,200000.0,1.0,1.1102230246251565e-16,10.0,1,1,94.61
30.0,450000.0,1.0,1.1102230246251565e-16,1.0,1,1,94.66
30.0,200000.0,3.0,1.0,2.0,0,1,51.34
30.0,500000.0,1.0,1.1102230246251565e-16,2.0,1,1,94.94
30.0,500000.0,4.0,1.0,4.0,0,1,52.1
30.0,300000.0,1.0,1.1102230246251565e-16,8.0,1,1,94.79
30.0,270000.0,5.0,1.0,3.0,1,0,41.54
30.0,200000.0,2.000000000000001,1.0,5.0,0,1,58.57
30.0,350000.0,16.0,1.0,12.0,0,0,6.46
30.0,200000.0,5.0,1.0,1.0,0,0,39.33
30.0,300000.0,15.0,1.0,8.0,0,0,7.2
30.0,500000.0,16.0,1.0,5.0,1,0,6.3
