objectId,muni,featureCode,countryCode,cityId,ACL,name,population,updatedAt,location,country,createdAt,adminCode
044XbLUEsU,,PPL,CO,3673369,,paipa,13554,Thu Dec 12 2019 14:16:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.78013,""longitude"":-73.11708}",Colombia,Thu Dec 12 2019 14:16:16 GMT-0500 (Colombia Standard Time),36
07ecpwUKM9,,PPL,CO,3674640,,mogotes,3438,Thu Dec 12 2019 14:16:17 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.47559,""longitude"":-72.97046}",Colombia,Thu Dec 12 2019 14:16:17 GMT-0500 (Colombia Standard Time),26
0A8lZDjlXo,,PPL,CO,3674618,,molagavita,1205,Thu Dec 12 2019 14:16:17 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.67315,""longitude"":-72.80875}",Colombia,Thu Dec 12 2019 14:16:17 GMT-0500 (Colombia Standard Time),26
0BTkcHJKSb,,PPL,CO,3688433,,buenavista,2084,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.3539,""longitude"":-75.71782}",Colombia,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),23
0BywoEWTAU,,PPL,CO,3688452,,buenaventura,24842,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":3.58333,""longitude"":-77}",Colombia,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),29
0Jp4Z9oBoC,,PPL,CO,3667731,,sucre,1095,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":5.91833,""longitude"":-73.79109}",Colombia,Thu Dec 12 2019 14:16:11 GMT-0500 (Colombia Standard Time),26
0KXKmhHUJS,,PPL,CO,3685733,,cota,7615,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":4.80938,""longitude"":-74.098}",Colombia,Thu Dec 12 2019 14:17:16 GMT-0500 (Colombia Standard Time),33
0P4LfMy4FV,,PPL,CO,3665934,,villanueva,18699,Thu Dec 12 2019 14:16:08 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":10.60528,""longitude"":-72.98}",Colombia,Thu Dec 12 2019 14:16:08 GMT-0500 (Colombia Standard Time),17
0QSiwYGCrX,,PPL,CO,3687335,,carlosama,2010,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":0.86292,""longitude"":-77.72734}",Colombia,Thu Dec 12 2019 14:17:18 GMT-0500 (Colombia Standard Time),20
0QWuNHvgnr,,PPL,CO,3689205,,barbosa,16707,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),"{""__type"":""GeoPoint"",""latitude"":6.43809,""longitude"":-75.33136}",Colombia,Thu Dec 12 2019 14:17:19 GMT-0500 (Colombia Standard Time),2
