PLAZO,CAPITAL,INT CORRIENTE,PRÓXIMA FECHA PAGO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,mora
9,100000,563.1,6/27/2015,1,0,1
14,150000,1313.9,7/2/2015,1,0,1
30,350000,6569.5,7/10/2015,1,0,1
29,250000,4536.083333,7/15/2015,1,0,1
28,200000,3503.733333,7/15/2015,1,0,1
30,150000,2815.5,7/16/2015,1,0,1
30,150000,2815.5,7/16/2015,1,0,1
30,100000,1877.0,7/16/2015,1,0,1
21,100000,1313.9,7/17/2015,1,0,1
29,150000,2721.65,7/22/2015,1,0,1
30,150000,2815.5,7/23/2015,1,0,1
30,150000,2815.5,7/24/2015,1,0,1
30,100000,1877.0,7/24/2015,1,0,1
30,100000,1877.0,7/25/2015,1,0,1
30,150000,2815.5,7/26/2015,1,0,1
30,100000,1877.0,7/27/2015,1,0,1
30,100000,1877.0,7/31/2015,1,0,1
30,100000,1877.0,8/1/2015,1,0,1
30,100000,1877.0,8/2/2015,1,0,1
30,200000,3754.0,8/2/2015,1,0,1
30,100000,1877.0,8/2/2015,1,0,1
30,150000,2815.5,8/10/2015,1,0,1
30,100000,1877.0,8/12/2015,1,0,1
29,150000,2721.65,8/12/2015,1,0,1
30,100000,1877.0,8/13/2015,1,0,1
20,100000,1251.333333,8/13/2015,1,0,1
30,350000,6569.5,8/16/2015,1,0,1
30,270000,5067.9,8/17/2015,1,0,1
29,250000,4536.083333,8/20/2015,1,0,1
30,100000,1877.0,8/21/2015,1,0,1
30,100000,1877.0,8/28/2015,1,0,1
30,150000,2815.5,8/29/2015,1,0,1
27,100000,1689.3,9/2/2015,1,0,1
29,100000,1814.433333,9/3/2015,1,0,1
30,100000,1877.0,9/4/2015,1,0,1
30,100000,1877.0,9/5/2015,1,0,1
27,100000,1689.3,9/8/2015,1,0,1
30,150000,2815.5,9/10/2015,1,0,1
30,150000,2815.5,9/10/2015,1,0,1
30,100000,1877.0,9/12/2015,1,0,1
30,250000,4692.5,9/15/2015,1,0,1
30,200000,3754.0,9/18/2015,1,0,1
29,200000,3628.866667,9/18/2015,1,0,1
30,150000,2815.5,9/23/2015,1,0,1
30,100000,1877.0,9/26/2015,1,0,1
30,120000,2252.4,10/8/2015,1,0,1
28,100000,1751.866667,11/24/2015,1,0,1
29,400000,7257.733333,12/2/2015,1,0,1
22,100000,1376.466667,12/17/2015,1,0,1
30,230000,4317.1,12/18/2015,1,0,1
30,330000,6194.1,12/19/2015,1,0,1
30,100000,1877.0,1/2/2016,1,0,1
30,170000,3190.9,1/2/2016,1,0,1
18,150000,1689.3,1/5/2016,1,0,1
30,150000,2815.5,1/16/2016,1,0,1
27,100000,1689.3,1/17/2016,1,0,1
30,130000,2440.1,1/21/2016,1,0,1
30,170000,3190.9,1/23/2016,1,0,1
15,160000,1501.6,1/23/2016,1,0,1
14,150000,1313.9,1/29/2016,1,0,1
30,150000,2815.5,1/29/2016,1,0,1
30,200000,3754.0,2/3/2016,1,0,1
30,100000,1877.0,2/6/2016,1,0,1
