PLAZO,CAPITAL,INT CORRIENTE,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,TIEMPO TRABAJO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE
9,100000,563.1,6/18/2015,6/27/2015,2869,1,Empleado,pasto,despachador de bodega,,2.0,mas de 5 años,,,,Indefinido,Mensual,,,0.0,0.0,Ninguno,24 meses,1,0
14,150000,1313.9,6/18/2015,7/2/2015,2864,1,Empleado,buga,supervisor,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,0.0,0.0,Ninguno,12 meses,1,0
30,350000,6569.5,6/10/2015,7/10/2015,2856,1,Empleado,Cucuta,Psicologa,,3.0,mas de 5 años,,,,Termino fijo,Mensual,,,0.0,0.0,Carro,1 año,1,0
29,250000,4536.083333,6/16/2015,7/15/2015,2851,1,Independiente,bogota,rentista capital,,3.0,entre uno y cinco años,,,,,,,,1.0,1.0,Ninguno,,1,0
28,200000,3503.733333,6/17/2015,7/15/2015,2851,1,Empleado,La Ceja,Docente primera infancia,,3.0,entre uno y cinco años,,,,Termino fijo,Mensual,,,1.0,1.0,Ninguno,9 horas,1,0
30,150000,2815.5,6/16/2015,7/16/2015,2850,1,Empleado,Cúcuta,Operador de divisas,,3.0,mas de 5 años,,,,Termino fijo,Quincenal,,,1.0,1.0,Carro,3 años,1,0
30,100000,1877.0,6/16/2015,7/16/2015,2850,1,Independiente,campoalegre,jefe,,3.0,mas de 5 años,,,,,,,,0.0,0.0,Ninguno,,1,0
21,100000,1313.9,6/26/2015,7/17/2015,2849,1,Empleado,medellin,ensamblador,,2.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,3 meses,1,0
29,150000,2721.65,6/23/2015,7/22/2015,2844,1,Empleado,pereira,TECNICO,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,2.0,2.0,Moto,1 AÑO,1,0
30,150000,2815.5,6/23/2015,7/23/2015,2843,1,Desempleado,bogota,,,2.0,mas de 5 años,,,,,,,,0.0,0.0,Ninguno,,1,0
30,150000,2815.5,6/24/2015,7/24/2015,2842,1,Empleado,Cartagena,vendedor,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,0.0,2.0,Ninguno,2 años,1,0
