PLAZO,CAPITAL,INT CORRIENTE,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,latitud,longitud,meses_transcurridos
9,100000,563.1,2015-06-27,2869,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,0.0,0.0,ninguno,1,0,1.21361,-77.28111,24.0
14,150000,1313.9,2015-07-02,2864,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,0.0,0.0,ninguno,1,0,3.90089,-76.29783,12.0
30,350000,6569.5,2015-07-10,2856,1,empleado,nan,3.0,mas de 5 anos,,,,termino fijo,mensual,nan,nan,0.0,0.0,carro,1,0,7.53941,-72.77238,12.0
29,250000,4536.083333,2015-07-15,2851,1,independiente,nan,3.0,entre uno y cinco anos,,,,nan,nan,nan,nan,1.0,1.0,ninguno,1,0,4.60971,-74.08175,
28,200000,3503.733333,2015-07-15,2851,1,empleado,nan,3.0,entre uno y cinco anos,,,,termino fijo,mensual,nan,nan,1.0,1.0,ninguno,1,0,5.04333,-76.01667,0.0
30,150000,2815.5,2015-07-16,2850,1,empleado,nan,3.0,mas de 5 anos,,,,termino fijo,quincenal,nan,nan,1.0,1.0,carro,1,0,7.53941,-72.77238,36.0
30,100000,1877.0,2015-07-16,2850,1,independiente,nan,3.0,mas de 5 anos,,,,nan,nan,nan,nan,0.0,0.0,ninguno,1,0,2.68489,-75.32311,
21,100000,1313.9,2015-07-17,2849,1,empleado,nan,2.0,mas de 5 anos,,,,indefinido,quincenal,nan,nan,0.0,0.0,ninguno,1,0,6.25184,-75.56359,3.0
29,150000,2721.65,2015-07-22,2844,1,empleado,nan,3.0,mas de 5 anos,,,,indefinido,mensual,nan,nan,2.0,2.0,moto,1,0,4.81333,-75.69611,12.0
30,150000,2815.5,2015-07-23,2843,1,desempleado,nan,2.0,mas de 5 anos,,,,nan,nan,nan,nan,0.0,0.0,ninguno,1,0,4.60971,-74.08175,
30,150000,2815.5,2015-07-24,2842,1,empleado,nan,3.0,entre uno y cinco anos,,,,indefinido,quincenal,nan,nan,0.0,2.0,ninguno,1,0,10.39972,-75.51444,24.0
