PLAZO,CAPITAL,INT CORRIENTE,DÍAS MORA,Cuotas en mora,ESTRATO,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,PERSONAS A CARGO,NUMERO DE HIJOS,NUM.CREDITOS SOLICITADOS,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,AÑOS EN LA VIVIENDA,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,TIPO DE VEHICULO,TIEMPO TRABAJO
9,100000,563.1,2869,1,2.0,,,,0.0,0.0,1,6/18/2015,6/27/2015,Empleado,pasto,despachador de bodega,,mas de 5 años,Indefinido,Mensual,,,Ninguno,24 meses
14,150000,1313.9,2864,1,3.0,,,,0.0,0.0,1,6/18/2015,7/2/2015,Empleado,buga,supervisor,,mas de 5 años,Indefinido,Mensual,,,Ninguno,12 meses
30,350000,6569.5,2856,1,3.0,,,,0.0,0.0,1,6/10/2015,7/10/2015,Empleado,Cucuta,Psicologa,,mas de 5 años,Termino fijo,Mensual,,,Carro,1 año
29,250000,4536.083333,2851,1,3.0,,,,1.0,1.0,1,6/16/2015,7/15/2015,Independiente,bogota,rentista capital,,entre uno y cinco años,,,,,Ninguno,
28,200000,3503.733333,2851,1,3.0,,,,1.0,1.0,1,6/17/2015,7/15/2015,Empleado,La Ceja,Docente primera infancia,,entre uno y cinco años,Termino fijo,Mensual,,,Ninguno,9 horas
30,150000,2815.5,2850,1,3.0,,,,1.0,1.0,1,6/16/2015,7/16/2015,Empleado,Cúcuta,Operador de divisas,,mas de 5 años,Termino fijo,Quincenal,,,Carro,3 años
30,100000,1877.0,2850,1,3.0,,,,0.0,0.0,1,6/16/2015,7/16/2015,Independiente,campoalegre,jefe,,mas de 5 años,,,,,Ninguno,
21,100000,1313.9,2849,1,2.0,,,,0.0,0.0,1,6/26/2015,7/17/2015,Empleado,medellin,ensamblador,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,3 meses
29,150000,2721.65,2844,1,3.0,,,,2.0,2.0,1,6/23/2015,7/22/2015,Empleado,pereira,TECNICO,,mas de 5 años,Indefinido,Mensual,,,Moto,1 AÑO
30,150000,2815.5,2843,1,2.0,,,,0.0,0.0,1,6/23/2015,7/23/2015,Desempleado,bogota,,,mas de 5 años,,,,,Ninguno,
30,150000,2815.5,2842,1,3.0,,,,0.0,2.0,1,6/24/2015,7/24/2015,Empleado,Cartagena,vendedor,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,2 años
30,100000,1877.0,2842,1,2.0,,,,2.0,2.0,1,6/24/2015,7/24/2015,Independiente,Garzon,Dueño,,entre uno y cinco años,,,,,Ninguno,
30,100000,1877.0,2841,1,3.0,,,,0.0,0.0,1,6/25/2015,7/25/2015,Empleado,tolima,guarda de seguridad,,entre uno y cinco años,Termino fijo,Quincenal,,,Ninguno,1 mes y 10 dias
30,150000,2815.5,2840,1,3.0,,,,2.0,1.0,1,6/26/2015,7/26/2015,Empleado,Villanueva la guajira,administrador,,entre uno y cinco años,Indefinido,Mensual,,,Ninguno,4 años
30,100000,1877.0,2839,1,2.0,,,,2.0,2.0,1,6/27/2015,7/27/2015,Empleado,Bello,Auxiliar Administrativa,,menos de un año,Indefinido,Quincenal,,,Ninguno,3 aÑOS
30,100000,1877.0,2835,1,3.0,,,,0.0,0.0,1,7/1/2015,7/31/2015,Empleado,Bello,Auxiliar administrativa,,entre uno y cinco años,Termino fijo,Mensual,,,Ninguno,2 años
30,100000,1877.0,2834,1,3.0,,,,0.0,0.0,1,7/2/2015,8/1/2015,Desempleado,bogota,,,mas de 5 años,,,,,Ninguno,
30,100000,1877.0,2833,1,4.0,,,,1.0,0.0,1,7/3/2015,8/2/2015,Independiente,envigado,dueño,,mas de 5 años,,,,,Ninguno,
30,200000,3754.0,2833,1,6.0,,,,0.0,0.0,1,7/3/2015,8/2/2015,Empleado,Bogota,Ejecutivo junior,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,6 meses
30,100000,1877.0,2833,1,2.0,950000.0,500000.0,,1.0,1.0,1,7/3/2015,8/2/2015,Empleado,BOGOTA,TESORERIA,,menos de un año,Indefinido,Quincenal,,,Ninguno,2018-01-15
30,100000,1877.0,2823,1,3.0,,,,0.0,0.0,1,7/13/2015,8/12/2015,Empleado,BARRANQUILLA,GESTOR DOCUMENTAL,,mas de 5 años,Indefinido,Mensual,,,Ninguno,4 AÑOS
29,150000,2721.65,2823,1,2.0,850000.0,600000.0,200000.0,0.0,0.0,1,7/14/2015,8/12/2015,Independiente,el carmen de bolivar,"comerciante , asesor",,mas de 5 años,,,,,Ninguno,
30,100000,1877.0,2822,1,2.0,,,,1.0,1.0,1,7/14/2015,8/13/2015,Empleado,Leticia,Tecnologo Apoyo Aseguramiento,,mas de 5 años,Indefinido,Mensual,,,Moto,mas de 3 años
20,100000,1251.333333,2822,1,3.0,,,,0.0,0.0,1,7/24/2015,8/13/2015,Empleado,san pedro de los milagros,Jefe salud ocupacional,,mas de 5 años,Termino fijo,Quincenal,,,Ninguno,6 MESES
30,350000,6569.5,2819,1,2.0,,,,1.0,1.0,1,7/17/2015,8/16/2015,Independiente,ibague,aux administrativo,,mas de 5 años,,,,,Ninguno,
30,270000,5067.9,2818,1,2.0,,,,0.0,0.0,1,7/18/2015,8/17/2015,Empleado,cali,auditor de call center,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,17 meses
29,250000,4536.083333,2815,1,2.0,,,,0.0,0.0,1,7/22/2015,8/20/2015,Empleado,Santa Marta,asis,,entre uno y cinco años,Indefinido,Mensual,,,Ninguno,3 años y medio
30,100000,1877.0,2814,1,2.0,,,,0.0,3.0,1,7/22/2015,8/21/2015,Independiente,bogota,asesor comercial,,entre uno y cinco años,Indefinido,,,,Ninguno,
30,100000,1877.0,2807,1,3.0,,,,0.0,0.0,1,7/29/2015,8/28/2015,Empleado,MEDELLIN,SECRETARIA,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,3 AÑOS
30,150000,2815.5,2806,1,2.0,,,,1.0,0.0,1,7/30/2015,8/29/2015,Empleado,medellin,Analista,,mas de 5 años,Indefinido,Mensual,,,Ninguno,22 MESES
27,100000,1689.3,2802,1,2.0,,,,2.0,2.0,1,8/6/2015,9/2/2015,Empleado,BOGOTA,ASESORA COMERCIAL,,entre uno y cinco años,Indefinido,Mensual,,,Ninguno,7 MESES
29,100000,1814.433333,2801,1,3.0,,,,2.0,2.0,1,8/5/2015,9/3/2015,Empleado,BUENAVENTURA,GESTOR DE VIDA SANA,,entre uno y cinco años,Indefinido,Mensual,,,Ninguno,9 AÑOS
30,100000,1877.0,2800,1,2.0,,,,3.0,3.0,1,8/5/2015,9/4/2015,Empleado,Medellin,Impulso y mercadeo,,menos de un año,Indefinido,Mensual,,,Moto,1 año
30,100000,1877.0,2799,1,3.0,,,,1.0,1.0,1,8/6/2015,9/5/2015,Independiente,Soacha,Técnico de redes y sistemas,,mas de 5 años,,,,,Ninguno,
27,100000,1689.3,2796,1,2.0,,,,1.0,2.0,1,8/12/2015,9/8/2015,Empleado,Manizales,auxiliar de Enfermería,,mas de 5 años,Termino fijo,Mensual,,,Ninguno,1 año
30,150000,2815.5,2794,1,4.0,,,,1.0,1.0,1,8/11/2015,9/10/2015,Independiente,bogota,comercial,,menos de un año,,,,,Ninguno,
30,150000,2815.5,2794,1,3.0,,,,1.0,1.0,1,8/11/2015,9/10/2015,Empleado,Bogotá,Asesora,,menos de un año,Indefinido,Mensual,,,Ninguno,1
30,100000,1877.0,2792,1,2.0,,,,0.0,0.0,1,8/13/2015,9/12/2015,Empleado,medellin,vendedor,,mas de 5 años,Indefinido,Mensual,,,Moto,2 años
30,250000,4692.5,2789,1,3.0,,,,0.0,0.0,1,8/16/2015,9/15/2015,Independiente,cali,comerciante,,entre uno y cinco años,,,,,Moto,
29,200000,3628.866667,2786,1,3.0,,,,0.0,2.0,1,8/20/2015,9/18/2015,Empleado,bogota,asistente administrativa,,mas de 5 años,Indefinido,Quincenal,,,Carro,1 año
30,150000,2815.5,2781,1,6.0,,,,0.0,0.0,1,8/24/2015,9/23/2015,Empleado,cali,mesero,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,3 años
30,100000,1877.0,2778,1,3.0,,,,2.0,2.0,1,8/27/2015,9/26/2015,Empleado,Barranquilla,Portero,,mas de 5 años,Termino fijo,Quincenal,,,Ninguno,30 dias
30,120000,2252.4,2766,1,2.0,,,,1.0,2.0,1,9/8/2015,10/8/2015,Empleado,VALLEDUPAR,AUXILIAR ADMINISTRATIVO,,menos de un año,Indefinido,Quincenal,,,Ninguno,2 AÑOS
28,100000,1751.866667,2719,1,2.0,,,,2.0,2.0,1,10/27/2015,11/24/2015,Empleado,bogota,jefe de bodega y logisitca,,mas de 5 años,Termino fijo,Mensual,,,Ninguno,18 meses
29,400000,7257.733333,2711,1,3.0,,,,3.0,1.0,1,11/3/2015,12/2/2015,Pensionado,dosquebradas,jefe de recurso,,mas de 5 años,,,,,Ninguno,
22,100000,1376.466667,2696,1,3.0,,,,3.0,1.0,1,11/25/2015,12/17/2015,Empleado,BOGOTA,AUXILIAR TECNOLOGIA,,mas de 5 años,Indefinido,Quincenal,,,Moto,1 AÑO
30,230000,4317.1,2695,1,5.0,,,,1.0,1.0,1,11/18/2015,12/18/2015,Empleado,Manizales,Ingeniera de alimentos,,mas de 5 años,Termino fijo,Quincenal,,,Ninguno,2 años
30,330000,6194.1,2694,1,3.0,,,,1.0,1.0,1,11/19/2015,12/19/2015,Empleado,Medellín,Auxiliar de enfermeria,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,15 meses
30,100000,1877.0,2680,1,3.0,,,,0.0,0.0,1,12/3/2015,1/2/2016,Empleado,Cali,Profesional de Talento Humano,,mas de 5 años,Termino fijo,Quincenal,,,Carro,6 meses
30,170000,3190.9,2680,1,4.0,,,,0.0,0.0,1,12/3/2015,1/2/2016,Empleado,Rionegro,Supervisor,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,1 año
18,150000,1689.3,2677,1,1.0,,,,1.0,1.0,1,12/18/2015,1/5/2016,Empleado,PEREIRA,AUXILIAR DE PARQUEADERO E INFORMADORA,,entre uno y cinco años,Indefinido,Quincenal,,,Moto,8 AÑOS
30,150000,2815.5,2666,1,3.0,,,,1.0,1.0,1,12/17/2015,1/16/2016,Empleado,Medellín,Auxiliar de facturación,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,2021-03-01
27,100000,1689.3,2665,1,3.0,,,,2.0,2.0,1,12/21/2015,1/17/2016,Empleado,Cundinamarca,Analista Gestión Integral,,menos de un año,Indefinido,Quincenal,,,Ninguno,4 años
30,130000,2440.1,2661,1,3.0,,,,0.0,1.0,1,12/22/2015,1/21/2016,Empleado,bogota,asistente compras,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,2020-02-04
30,170000,3190.9,2659,1,3.0,,,,1.0,0.0,1,12/24/2015,1/23/2016,Empleado,VALLEDUPAR,AUXILIAR DE ENFERMERIA,,mas de 5 años,Indefinido,Mensual,,,Ninguno,3 AÑOS
15,160000,1501.6,2659,1,2.0,,,,0.0,0.0,1,1/8/2016,1/23/2016,Empleado,cali,asesor contact center,,menos de un año,Indefinido,Mensual,,,Ninguno,9 meses
14,150000,1313.9,2653,1,3.0,,,,2.0,2.0,1,1/15/2016,1/29/2016,Empleado,venecia,asistente,,mas de 5 años,Indefinido,Mensual,,,Ninguno,15 meses
30,150000,2815.5,2653,1,3.0,,,,1.0,1.0,1,12/30/2015,1/29/2016,Empleado,Bogota,Oficios varios,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,9 meses
30,200000,3754.0,2648,1,2.0,,,,0.0,0.0,1,1/4/2016,2/3/2016,Empleado,Bogota,Supervisor Camercial,,entre uno y cinco años,Termino fijo,Mensual,,,Ninguno,17 meses
30,100000,1877.0,2645,1,3.0,,,,0.0,0.0,1,1/7/2016,2/6/2016,Empleado,BUCARAMANGA,ASISTENTE DE GERENCIA,,entre uno y cinco años,Termino fijo,Mensual,,,Ninguno,7
30,180000,3378.6,2644,1,2.0,,,,0.0,0.0,1,1/8/2016,2/7/2016,Empleado,medellin,mensajero,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,3 años
30,400000,7508.0,2643,1,3.0,,,,1.0,1.0,1,1/9/2016,2/8/2016,Empleado,cali,analista,,entre uno y cinco años,Indefinido,Mensual,,,Ninguno,2 años
29,170000,3084.536667,2639,1,4.0,,,,0.0,2.0,1,1/14/2016,2/12/2016,Pensionado,medellin,,,menos de un año,,,,,Ninguno,
23,150000,2158.55,2639,1,3.0,,,,0.0,0.0,1,1/20/2016,2/12/2016,Empleado,Bogota,Auxiliar Administrativa,,menos de un año,Indefinido,Mensual,,,Ninguno,7 meses
30,380000,7132.6,2637,1,2.0,,,,0.0,0.0,1,1/15/2016,2/14/2016,Empleado,Bogota,AUXILIAR DE SERVICIOS GENERALES,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,1 Y 8 MESES
30,200000,3754.0,2631,1,3.0,,,,2.0,1.0,1,1/21/2016,2/20/2016,Empleado,Cali,Mensajero,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,6 años
30,300000,5631.0,2625,1,3.0,,,,1.0,1.0,1,1/27/2016,2/26/2016,Independiente,San agustin,Mecanico,,menos de un año,,,,,Carro,
30,250000,4692.5,2623,1,3.0,,,,2.0,0.0,1,1/29/2016,2/28/2016,Empleado,Envigado,Asesora comercial,,mas de 5 años,,Quincenal,,,Ninguno,4 meses
30,200000,3754.0,2619,1,2.0,,,,1.0,1.0,1,2/2/2016,3/3/2016,Empleado,Soacha,AUXILIAR CONTABLE,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,UN AÑO
30,150000,2815.5,2617,1,2.0,,,,1.0,1.0,1,2/4/2016,3/5/2016,Empleado,bogota,auxiliar de medios audiovisuales,,mas de 5 años,Indefinido,Mensual,,,Ninguno,7 años y 10 meses
27,150000,2533.95,2617,0,3.0,,,,0.0,0.0,1,7/23/2015,8/19/2015,Empleado,bogota,asistente facturacion,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,1 año
30,100000,1877.0,2612,1,4.0,,,,0.0,2.0,1,2/9/2016,3/10/2016,Empleado,cali,secretaria academica,,entre uno y cinco años,Termino fijo,Mensual,,,Carro,6 meses
30,200000,3754.0,2609,1,4.0,,,,2.0,2.0,1,2/12/2016,3/13/2016,Empleado,Barranquilla,Pricing,,menos de un año,Indefinido,Quincenal,,,Ninguno,3 meses
30,100000,1877.0,2606,1,3.0,,,,0.0,0.0,1,2/15/2016,3/16/2016,Empleado,palmira,reconocedor predial,,mas de 5 años,Termino fijo,Mensual,,,Ninguno,2 años
30,150000,2815.5,2606,1,3.0,,,,0.0,0.0,1,2/15/2016,3/16/2016,Empleado,Medellin,representante de servicio,,menos de un año,Termino fijo,Quincenal,,,Ninguno,2 años
26,150000,2440.1,2606,1,2.0,,,,1.0,1.0,1,2/19/2016,3/16/2016,Empleado,madrid,resepcionista,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,1 año
30,200000,3754.0,2602,1,2.0,,,,1.0,1.0,1,2/19/2016,3/20/2016,Empleado,cali,operador logistico,,mas de 5 años,Termino fijo,Quincenal,,,Carro,2019-05-27
30,100000,1877.0,2599,1,3.0,,,,1.0,1.0,1,2/22/2016,3/23/2016,Empleado,Betania,Auxiliar de despachos,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,2019-07-23
30,100000,1877.0,2579,0,4.0,,,,2.0,1.0,1,7/15/2015,8/14/2015,Empleado,VALLEDUPAR,GERENTE,,mas de 5 años,Indefinido,Mensual,,,Moto,2020-02-01
30,330000,6194.1,2574,1,2.0,,,,1.0,1.0,1,3/18/2016,4/17/2016,Empleado,Santo Tomas,Tecnico,,mas de 5 años,Termino fijo,Mensual,,,Ninguno,7 Años
30,100000,1877.0,2572,0,4.0,,,,2.0,2.0,1,7/17/2015,8/16/2015,Empleado,bogota,supervisor de logistica,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,10 años
30,180000,3378.6,2570,1,2.0,,,,0.0,2.0,1,3/22/2016,4/21/2016,Empleado,Yopal,Tecnico en el area de salud,,entre uno y cinco años,Indefinido,Mensual,,,Carro,2022-02-10
30,350000,6569.5,2567,1,3.0,,,,1.0,2.0,1,3/25/2016,4/24/2016,Empleado,bucaramanga,jefe de auxiliares de vuelo,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,3 años
30,350000,6569.5,2564,1,3.0,,,,2.0,1.0,1,3/28/2016,4/27/2016,Empleado,BARRANQUILLA,TECNOLOGO EN IMAGENES DIAGNOSTICAS,,menos de un año,Indefinido,Quincenal,,,Ninguno,8 AM - 4 PM
30,300000,5631.0,2562,1,3.0,,,,2.0,2.0,1,3/30/2016,4/29/2016,Empleado,Medellin,Auxiliar administrativa,,mas de 5 años,Termino fijo,Quincenal,,,Ninguno,3 años
