PLAZO,CAPITAL,INT CORRIENTE,DÍAS MORA,Cuotas en mora,NUM.CREDITOS SOLICITADOS,PRÓXIMA FECHA PAGO
30,250000,4692.5,1521,1,1,3/6/2019
29,250000,4536.083333,1520,1,1,3/7/2019
30,250000,4692.5,1520,1,1,3/7/2019
29,250000,4536.083333,1519,1,1,3/8/2019
29,250000,4536.083333,1519,1,1,3/8/2019
30,270000,5067.9,1518,1,1,3/9/2019
30,300000,5631.0,1515,1,1,3/12/2019
30,200000,3754.0,1511,1,1,3/16/2019
30,200000,3754.0,1505,1,1,3/22/2019
30,320000,6006.4,1505,1,1,3/22/2019
30,300000,5631.0,1504,1,1,3/23/2019
30,230000,4317.1,1500,1,1,3/27/2019
29,200000,3628.866667,1497,1,1,3/30/2019
30,250000,4692.5,1497,1,1,3/30/2019
30,300000,5631.0,1497,1,1,3/30/2019
30,250000,4692.5,1493,1,1,4/3/2019
30,270000,5067.9,1492,1,2,4/4/2019
30,250000,4692.5,1491,1,1,4/5/2019
30,250000,4692.5,1491,1,1,4/5/2019
30,300000,5631.0,1491,1,1,4/5/2019
30,250000,4692.5,1490,1,1,4/6/2019
30,200000,3754.0,1489,1,1,4/7/2019
30,250000,4692.5,1486,1,1,4/10/2019
30,250000,4692.5,1484,1,1,4/12/2019
30,250000,4692.5,1482,1,1,4/14/2019
30,200000,3754.0,1482,1,1,4/14/2019
30,205000,3847.85,1482,1,1,4/14/2019
30,250000,4692.5,1482,1,1,4/14/2019
30,230000,4317.1,1482,1,1,4/14/2019
30,190000,3566.3,1479,1,1,4/17/2019
30,200000,3754.0,1479,1,1,4/17/2019
30,170000,3190.9,1479,1,1,4/17/2019
30,200000,3754.0,1477,1,1,4/19/2019
30,150000,2815.5,1477,1,1,4/19/2019
30,200000,3754.0,1476,1,1,4/20/2019
30,200000,3754.0,1476,1,1,4/20/2019
30,200000,3754.0,1476,1,1,4/20/2019
30,250000,4692.5,1476,1,1,4/20/2019
30,150000,2815.5,1476,1,1,4/20/2019
30,150000,2815.5,1475,1,1,4/21/2019
30,150000,2815.5,1475,1,1,4/21/2019
30,300000,5631.0,1475,1,1,4/21/2019
30,200000,3754.0,1475,1,1,4/21/2019
30,200000,3754.0,1471,1,1,4/25/2019
30,150000,2815.5,1471,1,1,4/25/2019
29,200000,3628.866667,1471,1,1,4/25/2019
30,150000,2815.5,1470,1,1,4/26/2019
29,300000,5443.3,1470,1,1,4/26/2019
30,150000,2815.5,1470,1,1,4/26/2019
30,200000,3754.0,1470,1,1,4/26/2019
30,170000,3190.9,1469,1,1,4/27/2019
30,200000,3754.0,1469,1,1,4/27/2019
30,150000,2815.5,1469,1,1,4/27/2019
30,150000,2815.5,1469,1,1,4/27/2019
30,200000,3754.0,1469,1,1,4/27/2019
30,250000,4692.5,1469,1,1,4/27/2019
30,250000,4692.5,1469,1,1,4/27/2019
30,200000,3754.0,1468,1,1,4/28/2019
30,200000,3754.0,1468,1,1,4/28/2019
30,200000,3754.0,1468,1,1,4/28/2019
