PLAZO,CAPITAL,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,mora,mes
9,100000,1,0,1,6
14,150000,1,0,1,7
30,350000,1,0,1,7
29,250000,1,0,1,7
28,200000,1,0,1,7
30,150000,1,0,1,7
30,150000,1,0,1,7
30,100000,1,0,1,7
21,100000,1,0,1,7
29,150000,1,0,1,7
30,150000,1,0,1,7
30,150000,1,0,1,7
30,100000,1,0,1,7
30,100000,1,0,1,7
30,150000,1,0,1,7
30,100000,1,0,1,7
30,100000,1,0,1,7
30,100000,1,0,1,8
30,100000,1,0,1,8
30,200000,1,0,1,8
30,100000,1,0,1,8
30,150000,1,0,1,8
30,100000,1,0,1,8
29,150000,1,0,1,8
30,100000,1,0,1,8
20,100000,1,0,1,8
30,350000,1,0,1,8
30,270000,1,0,1,8
29,250000,1,0,1,8
30,100000,1,0,1,8
30,100000,1,0,1,8
30,150000,1,0,1,8
27,100000,1,0,1,9
29,100000,1,0,1,9
30,100000,1,0,1,9
30,100000,1,0,1,9
27,100000,1,0,1,9
30,150000,1,0,1,9
30,150000,1,0,1,9
30,100000,1,0,1,9
30,250000,1,0,1,9
30,200000,1,0,1,9
29,200000,1,0,1,9
30,150000,1,0,1,9
30,100000,1,0,1,9
30,120000,1,0,1,10
28,100000,1,0,1,11
29,400000,1,0,1,12
22,100000,1,0,1,12
30,230000,1,0,1,12
30,330000,1,0,1,12
30,100000,1,0,1,1
30,170000,1,0,1,1
18,150000,1,0,1,1
30,150000,1,0,1,1
27,100000,1,0,1,1
30,130000,1,0,1,1
30,170000,1,0,1,1
15,160000,1,0,1,1
14,150000,1,0,1,1
30,150000,1,0,1,1
30,200000,1,0,1,2
30,100000,1,0,1,2
30,180000,1,0,1,2
30,400000,1,0,1,2
29,170000,1,0,1,2
23,150000,1,0,1,2
30,380000,1,0,1,2
30,200000,1,0,1,2
30,300000,1,0,1,2
30,250000,1,0,1,2
30,200000,1,0,1,3
30,150000,1,0,1,3
27,150000,1,0,1,8
30,100000,1,0,1,3
30,200000,1,0,1,3
30,100000,1,0,1,3
30,150000,1,0,1,3
26,150000,1,0,1,3
30,200000,1,0,1,3
30,100000,1,0,1,3
30,100000,1,0,1,7
30,100000,1,0,1,8
