PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,Cuotas en mora,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico
14.0,0.15,2864.0,1.3226429507950908,0.6,3.90089,-76.29783,12.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2856.0,2.2368702851247075,0.6,7.53941,-72.77238,12.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.25,2851.0,1.956384510609439,0.6,4.60971,-74.08175,31.192509855453352,1,7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28.0,0.2,2851.0,1.4917830347661685,0.6,5.04333,-76.01667,0.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2850.0,2.0001746567318914,0.6,7.53941,-72.77238,36.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2850.0,1.5557122007453277,0.6,2.68489,-75.32311,31.192509855453352,1,7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21.0,0.1,2849.0,1.366424180928334,0.6,6.25184,-75.56359,3.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.15,2844.0,1.5070557497073145,0.6,4.81333,-75.69611,12.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2843.0,1.80607057557012,0.6,4.60971,-74.08175,31.192509855453352,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2842.0,1.568607296900014,0.6,10.39972,-75.51444,24.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2842.0,1.5141708068481297,0.6,2.19593,-75.62777,31.192509855453352,1,7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2841.0,1.6245356735672782,0.6,4.60971,-74.08175,1.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2840.0,1.8630115960674,0.6,4.60971,-74.08175,48.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2839.0,1.5319247816231396,0.6,6.33732,-75.55795,36.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2835.0,1.4914942679721437,0.6,6.33732,-75.55795,24.0,1,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2834.0,1.7268815698582447,0.6,4.60971,-74.08175,31.192509855453352,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2833.0,1.5114657690417257,0.6,6.17591,-75.59174,31.192509855453352,1,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.2,2833.0,1.8007665888050948,0.6,4.60971,-74.08175,6.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2833.0,0.95,0.5,4.60971,-74.08175,31.192509855453352,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2823.0,1.6728348713355778,0.6,10.96854,-74.78132,48.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.15,2823.0,0.85,0.6,9.7174,-75.12023,31.192509855453352,1,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20.0,0.1,2822.0,1.583318805918573,0.6,4.60971,-74.08175,6.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.35,2819.0,1.9636312472195936,0.6,4.43889,-75.23222,31.192509855453352,1,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.27,2818.0,1.6091092999761791,0.6,3.43722,-76.5225,17.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.25,2815.0,1.9642592387537972,0.6,11.24079,-74.19904,42.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2814.0,1.7276094179012471,0.6,4.60971,-74.08175,31.192509855453352,1,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.1,2807.0,1.532470412957336,0.6,6.25184,-75.56359,36.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30.0,0.15,2806.0,1.5646845788878512,0.6,6.25184,-75.56359,22.0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27.0,0.1,2802.0,1.6285985114893275,0.6,4.60971,-74.08175,7.0,1,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
29.0,0.1,2801.0,1.568786656783388,0.6,3.8801,-77.03116,108.0,1,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
