PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,NUM.CREDITOS SOLICITADOS,latitud,longitud,meses_transcurridos,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico,Cuotas en mora
30.0,0.3,2284.0,1.6494344583109757,0.6,1.0,4.60971,-74.08175,12.0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.12,1675.0,1.0,0.6,1.0,6.25184,-75.56359,6.307490144546649,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.15,1454.0,2.0,0.6,1.0,4.60971,-74.08175,13.92904073587385,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
30.0,0.3,1132.0,1.405,0.35,1.0,3.43722,-76.5225,131.85775295663603,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.1,1350.0,1.8,0.6,1.0,10.96854,-74.78132,30.65045992115637,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.5,716.0,2.1,1.5,1.0,3.43722,-76.5225,130.38764783180025,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.17,1946.0,1.0,0.7,1.0,4.60971,-74.08175,31.07752956636005,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.3,2186.0,1.7323533839166756,0.6,1.0,4.60971,-74.08175,66.0,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.26,532.0,1.7,1.0,2.0,4.57937,-74.21682,75.16425755584757,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,2226.0,1.628655996836504,0.6,1.0,4.60971,-74.08175,36.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,1345.0,1.98,0.6,1.0,4.60971,-74.08175,26.609724047306177,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
27.0,0.17,2010.0,0.9,0.5,1.0,2.50861,-78.4511,18.85676741130092,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.25,1469.0,1.039,0.3,1.0,6.18461,-75.59913,76.34691195795007,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.2,1706.0,1.2,0.4,1.0,4.14924,-74.88429,23.5545335085414,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,2148.0,1.5,0.6,1.0,5.20856,-74.73584,31.07752956636005,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.15,2617.0,1.5612430879211077,0.6,1.0,4.60971,-74.08175,94.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,2218.0,1.5404312649193774,0.6,1.0,6.25184,-75.56359,31.07752956636005,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,2248.0,1.6072194381352758,0.6,1.0,4.33646,-74.36378,31.07752956636005,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
5.0,0.5,1943.0,4.062164270317729,0.6,8.0,4.60971,-74.08175,31.07752956636005,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
30.0,0.2,2267.0,1.5248801341057847,0.6,1.0,4.60971,-74.08175,6.0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,2252.0,1.6766754907196515,0.6,1.0,7.06222,-73.08644,24.0,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.3,888.0,1.5,0.9,1.0,4.60971,-74.08175,31.07752956636005,11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.15,2004.0,1.2,0.7,1.0,3.43722,-76.5225,31.07752956636005,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.5,488.0,1.5,1.2,1.0,3.43722,-76.5225,81.99737187910644,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.27,694.0,4.199999999999999,1.8,1.0,6.25184,-75.56359,16.195795006570304,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
30.0,0.45,1400.0,2.7,0.5,1.0,3.43722,-76.5225,52.20105124835742,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.35,2225.0,2.2,0.6,1.0,4.60971,-74.08175,0.0,4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.45,1055.0,2.1,1.2,1.0,4.60971,-74.08175,69.34954007884363,6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.31,1972.0,1.2,0.35,1.0,4.60971,-74.08175,31.07752956636005,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.17,1469.0,1.2,0.8,1.0,6.25184,-75.56359,21.84625492772668,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.5,1162.0,1.98,0.6,1.0,4.83916,-75.66727,58.93561103810775,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.43,1731.0,2.2,1.5,1.0,10.74055,-74.75443,25.9526938239159,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.3,2296.0,1.6180565385990953,0.6,1.0,5.06889,-75.51738,18.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.35,1218.0,1.02,0.75,1.0,3.58234,-76.49146,16.62286465177398,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.2,1967.0,2.9,0.5,1.0,5.54782,-75.64368,12.0,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.3,1101.0,1.4,0.3,1.0,3.26074,-76.53499,98.35742444152432,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.18,2014.0,1.132545,0.28,1.0,10.15031,-73.9614,8.114323258869907,10,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.15,1696.0,1.3,1.1,1.0,6.19053,-72.47588,9.85545335085414,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.5,1218.0,4.199999999999999,1.5,1.0,4.43889,-75.23222,31.07752956636005,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.15,1476.0,0.97,0.6,1.0,4.43889,-75.23222,46.320630749014455,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.1,1561.0,2.0,1.0,2.0,4.60971,-74.08175,64.02759526938239,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
30.0,0.1,2148.0,1.436934073097584,0.6,1.0,4.60971,-74.08175,20.532194480946124,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.189,1987.0,1.159,0.9,1.0,6.18461,-75.59913,18.725361366622863,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.16,1973.0,1.2,0.6,1.0,7.06528,-73.85472,31.07752956636005,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.15,2179.0,1.480741783295524,0.6,1.0,4.06004,-74.69212,31.07752956636005,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
24.0,0.22,1623.0,1.7,0.5,1.0,6.25184,-75.56359,44.74375821287779,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.17,1941.0,1.5,0.3,1.0,10.96854,-74.78132,31.07752956636005,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.25,1303.0,4.0,1.9,1.0,5.54782,-75.64368,31.07752956636005,10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,1237.0,2.1,1.4,1.0,6.25184,-75.56359,15.473061760841,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
30.0,0.1,1609.0,1.12,0.5,1.0,4.33646,-74.36378,11.0,12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.3,1974.0,4.199999999999999,1.9,1.0,6.25184,-75.56359,131.85775295663603,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
30.0,0.3,1585.0,1.55,0.75,1.0,4.60971,-74.08175,57.03022339027595,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.25,1330.0,1.66,0.5,1.0,4.60971,-74.08175,6.504599211563732,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.5,1434.0,1.660198,0.7,1.0,10.96854,-74.78132,38.961892247043366,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
30.0,0.15,2850.0,1.5457355791263687,0.6,1.0,7.53941,-72.77238,36.0,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.3,1310.0,1.1,0.35,1.0,6.25184,-75.56359,25.26281208935611,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.25,1666.0,2.5,1.7,1.0,2.9273,-75.28189,31.07752956636005,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
28.0,0.3,2215.0,1.5,0.6,1.0,4.60971,-74.08175,39.09329829172142,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,2169.0,1.5442765717962388,0.6,1.0,6.25184,-75.56359,31.07752956636005,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.15,2057.0,1.2,0.55,1.0,6.15515,-75.37371,31.07752956636005,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.2,1706.0,1.7,0.9,2.0,5.06889,-75.51738,94.7437582128778,9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.45,1906.0,2.5,0.7,1.0,10.96854,-74.78132,31.07752956636005,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
29.0,0.3,1787.0,2.0,0.6,1.0,11.24079,-74.19904,47.99605781865966,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.5,1945.0,1.9045844184107985,0.6,1.0,6.25184,-75.56359,24.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
