PLAZO,CAPITAL,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE,mes,mora
30,500000,4,1,10,1
30,350000,5,1,1,1
30,300000,1,0,4,1
30,210000,3,1,10,1
29,400000,2,1,10,1
30,500000,15,1,11,0
20,500000,10,1,8,0
30,500000,14,1,7,0
30,200000,1,0,7,1
30,300000,1,0,9,1
30,230000,1,0,1,1
30,300000,9,1,6,0
30,300000,2,1,12,1
30,500000,24,1,12,0
30,500000,4,1,12,1
30,500000,15,1,7,0
30,300000,18,1,3,0
30,200000,11,1,11,0
30,360000,19,1,7,0
30,300000,1,0,11,0
30,300000,1,0,4,1
18,350000,22,1,12,0
30,450000,4,1,9,1
30,300000,19,1,5,0
30,500000,12,1,9,0
30,250000,3,1,2,0
30,200000,1,0,11,1
30,350000,2,1,3,1
30,250000,60,1,3,0
30,500000,2,1,8,1
30,500000,29,1,9,0
30,200000,5,1,9,0
30,450000,13,1,6,0
30,500000,2,1,1,1
30,500000,25,1,5,0
30,500000,64,1,9,0
30,500000,39,1,2,0
30,500000,15,1,5,0
28,500000,3,1,2,0
30,250000,1,0,9,1
30,200000,2,1,2,0
30,450000,7,1,11,0
30,500000,27,1,12,0
17,200000,6,1,6,1
30,180000,2,1,8,1
30,500000,38,1,12,0
30,500000,4,1,10,0
30,200000,25,1,2,0
30,400000,1,0,9,1
30,500000,58,1,2,0
30,400000,12,1,7,0
30,500000,9,1,12,0
30,250000,2,1,3,1
30,250000,5,1,10,0
30,200000,14,1,5,0
30,150000,1,0,12,1
30,300000,2,1,3,1
28,500000,3,1,9,0
30,500000,12,1,6,0
30,500000,3,1,11,0
30,500000,21,1,10,0
30,250000,8,1,6,0
30,300000,2,1,1,1
30,100000,1,0,12,1
30,400000,3,1,6,0
30,500000,55,1,8,0
30,350000,13,1,7,0
9,200000,1,0,1,1
30,450000,5,1,4,0
30,500000,39,1,2,0
30,350000,1,0,5,1
30,250000,3,1,12,0
30,500000,5,1,2,0
30,350000,6,1,5,0
30,500000,35,1,2,0
30,500000,2,1,6,0
30,250000,7,1,11,0
30,500000,35,1,4,0
30,250000,4,1,6,0
30,300000,1,0,2,1
30,400000,1,0,10,1
30,420000,10,1,11,0
30,500000,4,1,3,1
30,500000,32,1,2,0
30,300000,1,0,10,1
30,500000,47,1,2,0
30,200000,10,1,1,0
30,250000,1,0,10,1
30,400000,12,1,5,0
30,300000,2,1,3,0
30,100000,1,0,4,1
30,500000,35,1,7,0
30,300000,5,1,3,0
30,400000,22,1,6,0
22,300000,1,0,12,1
30,120000,2,1,3,0
30,200000,1,0,4,1
30,500000,9,1,12,0
29,500000,49,1,8,0
30,400000,20,1,2,0
30,200000,1,0,6,1
29,300000,7,1,11,0
30,500000,4,1,2,0
30,250000,3,1,9,0
30,300000,1,0,5,1
30,500000,45,1,12,0
30,200000,6,1,2,0
30,250000,2,1,4,0
30,340000,5,1,8,0
30,300000,1,0,3,1
30,250000,13,1,2,0
30,300000,8,1,3,0
30,250000,2,1,3,0
30,500000,87,1,7,0
30,200000,33,1,12,0
30,500000,8,1,2,0
30,500000,8,1,11,0
30,250000,13,1,3,0
30,250000,1,0,4,1
30,250000,3,1,11,0
30,500000,34,1,2,0
27,400000,16,1,9,0
30,200000,9,1,8,0
30,450000,14,1,7,0
30,500000,2,1,2,0
29,170000,3,1,5,1
30,500000,6,1,12,0
30,440000,1,0,10,1
30,300000,1,0,3,1
30,500000,25,1,12,0
30,500000,12,1,10,0
30,200000,1,0,2,1
30,360000,17,1,1,0
