PLAZO,CAPITAL,DÍAS MORA,INGRESOS MENSUALES,GASTOS MENSUALES,latitud,longitud,meses_transcurridos,mes_de_pago,TIPO EMPLEO_independiente,TIPO DE VIVIENDA_propia,ESTADO CIVIL_soltero/a,ESTADO CIVIL_union libre,NIVEL EDUCATIVO_postgrado,NIVEL EDUCATIVO_profesional,NIVEL EDUCATIVO_secundaria,NIVEL EDUCATIVO_tecnico,Cuotas en mora
13.0,0.17,1532.0,1.1,0.2,4.60971,-74.08175,20.49934296977661,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.3,1783.0,1.274,0.5,6.25184,-75.56359,48.12746386333772,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.35,1304.0,2.5,1.2,5.53528,-73.36778,31.192509855453352,10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,544.0,1.25,0.95,6.25184,-75.56359,138.96189224704335,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.2,1986.0,1.0,0.4,6.25184,-75.56359,31.192509855453352,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.2,779.0,1.2,0.3,6.25184,-75.56359,24.63863337713535,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
30.0,0.3,1281.0,1.6,0.36,6.25184,-75.56359,38.37056504599212,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.45,845.0,1.5,0.8,4.142,-73.62664,49.31011826544021,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.3,517.0,2.578429538760904,0.6,4.60971,-74.08175,164.0275952693824,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.1,1546.0,2.0,0.8,4.60971,-74.08175,0.0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.25,2148.0,1.5,0.6,5.20856,-74.73584,31.192509855453352,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,954.0,0.99,0.4,6.25184,-75.56359,69.44809461235216,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.2,1171.0,1.9221148860679964,0.6,4.60971,-74.08175,24.0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.3,1696.0,5.2,2.5,6.15153,-75.61657,27.890932982917214,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.35,566.0,1.9,0.2,4.60971,-74.08175,31.192509855453352,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.27,1556.0,6.0,3.0,5.06889,-75.51738,24.67148488830486,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.3,1425.0,2.0,0.3,7.06222,-73.08644,31.192509855453352,9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.15,499.0,1.2,0.4,1.21361,-77.28111,88.83048620236531,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.25,1047.0,1.331,0.6,4.60971,-74.08175,31.192509855453352,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.5,455.0,35.5,2.0,4.60971,-74.08175,120.13797634691196,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
29.0,0.2,1525.0,0.905,0.4,4.60971,-74.08175,62.51642575558476,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.27,1825.0,1.3,0.6,4.60971,-74.08175,69.41524310118265,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.25,2192.0,1.3,0.45,10.46314,-73.25322,24.11300919842313,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,1444.0,1.1,0.5,4.60971,-74.08175,26.544021024967147,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
19.0,0.2,1976.0,2.202816,0.65,7.53941,-72.77238,31.192509855453352,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
18.0,0.15,1890.0,1.5,0.4,1.21361,-77.28111,31.192509855453352,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.25,2224.0,0.791,0.4,4.60971,-74.08175,31.192509855453352,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.5,540.0,2.2,1.0,9.52392,-75.58139,59.55978975032851,11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
30.0,0.25,535.0,5.0,3.2,4.60971,-74.08175,44.38239159001314,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
30.0,0.1,2007.0,1.849896706264236,0.6,7.53941,-72.77238,6.0,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.3,1425.0,1.3,0.4,7.06528,-73.85472,34.2969776609724,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.2,913.0,1.2,0.9,9.30472,-75.39778,29.66491458607096,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.28,463.0,9.5,3.5,4.60971,-74.08175,31.192509855453352,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
30.0,0.18,1986.0,1.0,0.1,6.25184,-75.56359,31.192509855453352,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.4,490.0,1.35,0.8,10.91843,-74.76459,31.192509855453352,12,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
30.0,0.1,1864.0,1.25,0.45,4.60971,-74.08175,18.0,7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
30.0,0.3,804.0,1.09,0.15,3.43722,-76.5225,19.54664914586071,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.2,990.0,3.5,1.5,5.53528,-73.36778,53.8107752956636,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.2,572.0,2.0,0.5,4.60971,-74.08175,1.0512483574244416,7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
28.0,0.21,1522.0,1.05,0.5,6.25184,-75.56359,9.724047306176084,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.2,1644.0,1.7,0.8,8.74798,-75.88143,38.23915900131406,11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.15,2020.0,1.6,1.0,4.60971,-74.08175,20.89356110381077,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
30.0,0.25,1114.0,1.4,0.25,5.53528,-73.36778,31.192509855453352,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
30.0,0.3,2220.0,2.067292654103328,0.6,4.60971,-74.08175,31.192509855453352,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.3,1965.0,1.65,0.75,11.24079,-74.19904,6.0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
30.0,0.27,778.0,2.1,0.5,6.25184,-75.56359,20.13797634691196,8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
30.0,0.1,1573.0,1.2,0.8,4.60971,-74.08175,31.192509855453352,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.3,1132.0,1.405,0.35,3.43722,-76.5225,150.98554533508542,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.2,1717.0,1.3,0.65,6.25184,-75.56359,209.03416557161628,8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.2,800.0,1.39,1.39,0.83018,-77.64959,43.23258869908016,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
23.0,0.32,1254.0,2.326652026417925,0.6,4.60971,-74.08175,108.0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
30.0,0.2,1345.0,1.035,0.3,4.60971,-74.08175,78.580814717477,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.1,1668.0,1.2,0.8,6.25184,-75.56359,4.862023653088042,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.18,1990.0,1.68,0.045,10.91843,-74.76459,31.192509855453352,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.15,1631.0,1.3,0.1,4.60971,-74.08175,10.315374507227332,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.3,1819.0,2.0,0.25,4.60971,-74.08175,57.22733245729304,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
30.0,0.25,1262.0,1.0,0.4,11.54444,-72.90722,33.60709592641261,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.3,2295.0,2.283699400271276,0.6,4.60971,-74.08175,96.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.2,1975.0,1.2,0.85,4.81333,-75.69611,6.0,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
30.0,0.2,1825.0,2.0,1.5,6.25184,-75.56359,31.192509855453352,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.0,0.17,2205.0,1.7062778745750222,0.6,6.25184,-75.56359,48.0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
30.0,0.25,1148.0,1.6,0.3,4.60971,-74.08175,31.192509855453352,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
21.0,0.1,1411.0,1.5,0.7,6.25184,-75.56359,0.0,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
30.0,0.28,1870.0,2.4,0.8,6.25184,-75.56359,31.192509855453352,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
30.0,0.35,1224.0,1.3,0.15,6.25184,-75.56359,62.582128777923785,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
30.0,0.35,1387.0,3.8,1.8,3.53944,-76.30361,34.98685939553219,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
29.0,0.4,1808.0,1.8,0.45,5.85389,-76.02528,135.5124835742444,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.0,0.15,1489.0,0.9,0.5,10.74055,-74.75443,33.18002628120894,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
